1	а	a	а	ˈa
1	абаджия	abˈadʒijˈa	абаджия	ɐbˈadʒijˈa
1	абаносовочерен	ɐbɐnosovotʃˈeren	абаносовочерен	ɐbɐnosovotʃeren
1	абатче	abˈattʃe	абатче	ɐbˈattʃe
1	абдалче	abdˈaɫtʃe	абдалче	ɐbdˈaɫtʃe
1	абдуктор	ˈabduktˈor	абдуктор	ˈabduktor
1	абдукторче	ɐbduktˈortʃe	абдукторче	ɐbduktortʃe
1	абдукцийка	ɐbduktsˈijkɐ	абдукцийка	ɐbduktsijkɐ
1	абдукция	ɐbˈduktsijɐ	абдукция	ɐbduktsijɐ
1	абдукция	ˈabduktsˈijɐ	абдукция	ˈabduktsijɐ
1	аберационен	ɐberɐtsiˈonen	аберационен	ɐberɐtsionen
1	абзац	ɐbzˈats	абзиац	ɐbzˈats
1	абичка	ˈabitʃkˈa	абичкаа	ˈabitʃkˈa
1	аблаут	ɐbɫˈaut	аблааут	ɐbɫˈaut
1	аблация	ˈabɫɐtsˈijɐ	аблация	ˈabɫɐtsijɐ
1	абнегация	ɐbnegˈatsiɐ	абнегация	ɐbnegˈatsijɐ
1	абонирам	ɐboˈnirɐm	абонирам	ɐbonirɐm
1	абордажче	ɐbordˈaʃtʃe	абордажче	ɐbordˈaʒtʃe
1	абракадабра	ɐbrɐkadˈabrɐ	абракадабра	ɐbrɐkɐdˈabrɐ
1	абрашев	abrˈaʃef	абрашев	ɐbrˈaʃef
1	абрихт	ɐbrˈixt	абрихт	ɐbrixt
1	абсорбатор	ɐpsorbˈator	абсорбатор	ɐbsorbˈator
1	абсорбиране	ɐpsorbirˈane	абсорбиране	ɐbsorbirˈane
1	абстракт	ˈapstrɐkt	абстракт	ˈabstrɐkt
1	абфарт	ˈapfɐrt	абфарт	ˈabfɐrt
1	абъд	ˈabɐt	абъд	ˈabɐd
1	аванпост	ˈavɐnpˈost	аванпост	ˈavɐnpost
1	авансирам	avˈansirˈam	авансирам	ɐvˈansirˈam
1	авансиране	avˈansirˈane	авансиране	ɐvˈansirˈane
1	аварин	avˈarin	аварин	ɐvˈarin
1	авария	ˈavɐrˈijɐ	авария	ˈavɐrijɐ
1	аватар	ɐvatˈar	аватар	ɐvɐtˈar
1	аватарче	ɐvatˈartʃe	аватарче	ɐvɐtˈartʃe
1	авгур	ɐvˈgur	авгур	ɐvgur
1	август	ˈavgost	август	ˈavgust
1	августов	ˈavgostof	августов	ˈavgustof
1	августовска	ˈavgostofskɐ	августовска	ˈavgustofskɐ
1	августовската	ˈavgostofskɐtɐ	августовската	ˈavgustofskɐtɐ
1	августовски	ˈavgostofski	августовски	ˈavgustofski
1	августовските	ˈavgostofskitɛ	августовските	ˈavgustofskitɛ
1	августовския	ˈavgostofskijɐ	августовския	ˈavgustofskijɐ
1	августовският	ˈavgostofskijɐt	августовският	ˈavgustofskijɐt
1	августовско	ˈavgostofsko	августовско	ˈavgustofsko
1	августовското	ˈavgostofskoto	августовското	ˈavgustofskoto
